Tosafot on Ketubot 3a:5:1	פרק מי שאחזו (שם	פרק מי שאחזו (גיטין שם
Tosafot on Ketubot 3b:5:1	פ' בן סורר ומורה (שם:)	פ' בן סורר ומורה (סנהדרין שם:)
Tosafot on Ketubot 3b:5:1	פרק מצות חליצה (שם	פרק מצות חליצה (יבמות שם
Tosafot on Ketubot 4b:9:1	פרק בהמה המקשה (שם	פרק בהמה המקשה (חולין שם
Tosafot on Ketubot 5b:3:2	פרק כלל גדול (שם	פרק כלל גדול (שבת שם
Tosafot on Ketubot 6a:3:1	פרק חבית (שם	פרק חבית (שבת שם
Tosafot on Ketubot 6a:3:1	פרק חבית (שם	פרק חבית (שבת שם
Tosafot on Ketubot 12b:6:2	פ' חזקת הבתים (שם	פ' חזקת הבתים (בבא בתרא שם
Tosafot on Ketubot 12b:10:1	פרק כל הנשבעין (שם)	פרק כל הנשבעין (שבועות שם)
Tosafot on Ketubot 13b:16:1	פרק עשרה יוחסין (שם	פרק עשרה יוחסין (קידושין שם
Tosafot on Ketubot 13b:16:2	פרק נושאין על האנוסה (שם	פרק נושאין על האנוסה (יבמות שם
Tosafot on Ketubot 14a:4:1	פרק עשרה יוחסין (שם	פרק עשרה יוחסין (קידושין שם
Tosafot on Ketubot 18a:9:2	פרק שבועת הדיינין (שם	פרק שבועת הדיינין (שבועות שם
Tosafot on Ketubot 21b:3:1	פרק כל הגט (שם)	פרק כל הגט (גיטין שם)
